decline_threshold,target_rule,development_rows,development_positive_rows,development_positive_rate,train_rows_2022_2023,train_positive_rate_2022_2023,validation_rows_2024,validation_positive_rate_2024,validation_minus_train_pp,minimum_validation_quarter_positive_rows,minimum_validation_quarter_negative_rows,validation_quarter_rate_min,validation_quarter_rate_max,training_industries,training_industries_with_both_classes,training_industries_with_at_least_100_each_class
0.05,next-quarter YoY <= -5%,248217,99714,0.40172107470479457,166041,0.3714082666329401,82176,0.46296972352024923,9.156145688730916,9159,10460,0.44364252845725355,0.4897560975609756,63,63,60
0.08,next-quarter YoY <= -8%,248217,88557,0.35677250148055933,166041,0.33157473154220946,82176,0.40768594236760125,7.61112108253918,8012,11594,0.3880842819084524,0.4344390243902439,63,63,60
0.1,next-quarter YoY <= -10%,248217,81617,0.3288130949934936,166041,0.30673749254702154,82176,0.3734180295950156,6.668053704799403,7371,12337,0.35703560184063937,0.39819512195121953,63,63,60
0.12,next-quarter YoY <= -12%,248217,75200,0.3029607158252658,166041,0.2841165736173596,82176,0.34103631230529596,5.691973868793637,6713,12993,0.32516347783967064,0.3661951219512195,63,63,60
0.15,next-quarter YoY <= -15%,248217,66389,0.2674635500388773,166041,0.25222685963105496,82176,0.2982500973520249,4.6023237720969945,5868,13909,0.28423347057398884,0.3215121951219512,63,63,60
0.18,next-quarter YoY <= -18%,248217,58582,0.23601123210738992,166041,0.2231617492065213,82176,0.2619742990654206,3.8812549858899286,5162,14724,0.2500363284088157,0.2817560975609756,63,63,59
0.2,next-quarter YoY <= -20%,248217,54125,0.21805516946865042,166041,0.20702115742497335,82176,0.24034998052959503,3.332882310462168,4746,15203,0.22988617098571082,0.25839024390243903,63,63,59
