decline_threshold,development_rows,development_positive_rows,development_positive_rate,base_train_rows,base_train_positive_rate,validation_2024_rows,validation_2024_positive_rate,validation_minus_train_pp,minimum_fold_train_rows,minimum_fold_validation_positive_rows,minimum_fold_validation_negative_rows,training_industries,training_industries_with_both_classes,training_industries_with_at_least_100_each_class
0.05,222973,66621,0.29878505469272065,142292,0.26370421387007,80681,0.3606549249513516,9.695071108128161,122011,6833,12474,62,62,56
0.08,222973,60616,0.2718535428056312,142292,0.2418196384898659,80681,0.3248224489037072,8.30028104138413,122011,6148,13208,62,62,56
0.1,222973,56369,0.252806393599225,142292,0.22654822477721867,80681,0.2991162727283995,7.256804795118085,122011,5670,13748,62,62,56
0.12,222973,51999,0.23320760809604751,142292,0.21058808647007562,80681,0.2731002342558967,6.251214778582106,122011,5185,14296,62,62,56
0.15,222973,45815,0.20547330842747777,142292,0.18744553453461896,80681,0.23726775820825224,4.982222367363328,122011,4528,15046,62,62,55
0.18,222973,40279,0.18064519022482542,142292,0.16666432406600512,80681,0.205302363629603,3.8638039563597877,122011,3930,15704,62,62,54
0.2,222973,36903,0.16550434357523108,142292,0.15377533522615466,80681,0.1861900571386076,3.2414721912452924,122011,3560,16101,62,62,54
