option,partition,target_period_start,target_period_end,eligible_rows,train_fitted_q25_threshold,train_fitted_q30_threshold,fixed_5_positive_rows,fixed_5_positive_rate,fixed_10_positive_rows,fixed_10_positive_rate,train_q25_positive_rows,train_q25_positive_rate,train_q30_positive_rows,train_q30_positive_rate
A_3구간_최종테스트보존,train,20221,20234,166041,-0.15218934615384616,-0.10586152390277598,61669,0.3714082666329401,50931,0.30673749254702154,41511,0.25000451695665526,49813,0.3000042158262116
A_3구간_최종테스트보존,validation,20241,20244,82176,-0.15218934615384616,-0.10586152390277598,38045,0.46296972352024923,30686,0.3734180295950156,24307,0.29579195872274144,29910,0.3639748831775701
A_3구간_최종테스트보존,test_locked,20251,20254,80952,-0.15218934615384616,-0.10586152390277598,37836,0.4673880818262674,30789,0.38033649570115624,24415,0.30159847811048524,30007,0.37067645024211876
B_2구간_학습확대,train,20221,20244,248217,-0.16618847006425835,-0.12241380425258579,99714,0.40172107470479457,81617,0.3288130949934936,62055,0.2500030215496924,74465,0.2999995971267077
B_2구간_학습확대,validation,20251,20254,80952,-0.16618847006425835,-0.12241380425258579,37836,0.4673880818262674,30789,0.38033649570115624,22951,0.28351368712323355,27914,0.3448216226899891
