feature,non_null_count,null_count,null_rate,min,p01,p05,median,p95,p99,max,quantile_sample_size,extreme_value_rule
전분기_매출_증감률,406787,32354,0.07367565315012718,-0.9999981878706028,-0.8119021051874493,-0.5,0.0,1.0329989665967905,4.818233609910502,371900.74052478134,50000,"통계 요약만 기록, 자동 제거 없음"
전년동기_매출_증감률,325901,113240,0.2578670631983805,-0.999998863108393,-0.8617337716832033,-0.5696999788642372,-0.001801499802994043,1.3515625776584486,5.9167627774387705,908198.77696793,50000,"통계 요약만 기록, 자동 제거 없음"
최근_2분기_매출_변화액,406787,32354,0.07367565315012718,-234075437796.0,-1041945377.79,-231477135.14999998,0.0,270942695.69999963,1249370260.7700002,464676437992.0,50000,"통계 요약만 기록, 자동 제거 없음"
최근_4분기_매출_선형기울기,351330,87811,0.1999608326255121,-167065703890.4,-377026290.233,-91484423.57000001,0.0,133993742.67999996,582774271.0020046,101880359588.7,50000,"통계 요약만 기록, 자동 제거 없음"
점포_증감률,402025,37116,0.0845195506682364,-1.0,-0.25,-0.1111111111111111,0.0,0.14285714285714285,0.3333333333333333,3.3333333333333335,50000,"통계 요약만 기록, 자동 제거 없음"
프랜차이즈_점포_비율,439141,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,50000,"통계 요약만 기록, 자동 제거 없음"
