target,model,mae_mean,mae_std,mae_max,median_absolute_error_mean,median_absolute_error_std,median_absolute_error_max,rmse_mean,rmse_std,rmse_max,mean_error_mean,mean_error_std,mean_error_max,pinball_p10_mean,pinball_p10_std,pinball_p10_max,pinball_p50_mean,pinball_p50_std,pinball_p50_max,pinball_p90_mean,pinball_p90_std,pinball_p90_max,attainment_p10_mean,attainment_p10_std,attainment_p10_max,attainment_p50_mean,attainment_p50_std,attainment_p50_max,attainment_p90_mean,attainment_p90_std,attainment_p90_max,coverage_p10_p90_mean,coverage_p10_p90_std,coverage_p10_p90_max,mean_interval_width_mean,mean_interval_width_std,mean_interval_width_max,interval_score_80_mean,interval_score_80_std,interval_score_80_max,spearman_mean,spearman_std,spearman_max,direction_accuracy_mean,direction_accuracy_std,direction_accuracy_max,crossing_ratio_raw_mean,crossing_ratio_raw_std,crossing_ratio_raw_max,crossing_ratio_corrected_mean,crossing_ratio_corrected_std,crossing_ratio_corrected_max,fit_seconds_mean,fit_seconds_std,fit_seconds_max
target_a_next_quarter_yoy,catboost,0.7700913146143913,0.2513018913448256,1.1433508030996864,0.12359702106254314,0.012232662270635603,0.14162023460081746,24.726617418659348,18.735504186430607,52.27778863754612,-0.5458453737337814,0.25002175555877326,-0.3947435839437697,0.10174280794408014,0.026387310369889727,0.1410104391134947,0.38504565730719564,0.1256509456724128,0.5716754015498432,0.47483402890045756,0.23421129955200115,0.8232014711028445,0.1115610827215296,0.022663288517445396,0.1358492422751427,0.5423887253880658,0.042885636840853794,0.5852194449911434,0.9236612134095452,0.022164189490032387,0.9503883495145631,0.8121001306880157,0.03428845573656808,0.8633980582524272,1.2654672859164944,0.15129120306758473,1.4579409702321617,5.765768368445378,2.6059125681053477,9.642119102163392,0.5945756516923022,0.022064367293118673,0.6164860123402386,0.7314356187238171,0.012565876235985911,0.7421463414634146,0.0006244340151354659,0.0005014782132355907,0.0010731707317073172,0.0,0.0,0.0,183.18019005001406,31.83925094954902,204.54878850001842
target_a_next_quarter_yoy,industry_median,0.8678698432796561,0.2383987199236617,1.2195741345698148,0.18790943888458114,0.003929470528831174,0.1920397792401945,25.014180903968168,18.631546727278376,52.30014614268349,-0.5557469278157235,0.23966450074755646,-0.40771466159049374,0.11721275694271874,0.023502716714103568,0.15196354651116048,0.43393492163982805,0.11919935996183086,0.6097870672849074,0.6092622381567165,0.2117998891623573,0.9221517202542151,0.12100565169126132,0.007885148099704723,0.1287148199173391,0.6252439061448846,0.018562986197136984,0.6436725054123205,0.9310795156072447,0.004396578822438642,0.9368726628616414,0.8100738639159833,0.005426752767496776,0.8148401938231119,1.2717099352923353,0.023847481743365834,1.2994400355297495,7.264749950994353,2.3529832505133745,10.741152667653758,0.07100179130978215,0.0115835656256949,0.08217336996418702,0.4721044017038925,0.026444760611957895,0.49278057853262197,0.0,0.0,0.0,0.0,0.0,0.0,0.11300719997962005,0.032477737890024776,0.14065539999864995
target_a_next_quarter_yoy,lightgbm,0.7500621901209653,0.23200334601790992,1.0941150503248398,0.11473306676770884,0.004074699523716651,0.11975793804152697,24.85985041955392,18.631679767040364,52.152938025074754,-0.5318859845487015,0.23990883535109314,-0.3917388645969356,0.09931949827077144,0.023929401635881992,0.13469261231735918,0.37503109506048266,0.11600167300895496,0.5470575251624199,0.3961427350320211,0.17070903662732964,0.649767563386639,0.12620292474367645,0.017202014394797575,0.14195040346388507,0.5313150616773782,0.04509776280680634,0.574837630387719,0.9040258756542787,0.01669089228344142,0.917535918126353,0.7778229509106024,0.004665669644819163,0.7847572815533981,1.3508069614028575,0.07154456293747244,1.4172039878588842,4.954622333027925,1.9457178765598246,7.844601757039981,0.6184140836733661,0.015138047525079464,0.6337659109908894,0.7365435624685268,0.011289870633539926,0.7464573902775045,0.0037146175813462423,0.000273837158602876,0.004062454113846606,0.0,0.0,0.0,46.73491652500525,5.899090476975599,49.9917975999997
target_a_next_quarter_yoy,regularized_linear,77.0854533041099,93.01121818318373,191.8600592446399,76.63843067401466,93.33296839428398,191.95678588245931,92.72241583380458,78.98790086202122,192.62655135299306,19.485137613457344,126.55145556377599,191.46152021412803,9.514761440423486,12.160050004920423,26.028082222330312,38.54272665205495,46.505609091591865,95.93002962231995,5.770573505918946,9.504262017825424,19.994866994015606,0.22129010037394214,0.4425802007478843,0.8851604014957686,0.7044080055001002,0.4722534590328299,0.9997539854359379,0.969303162162679,0.044534539296416584,0.9997539854359379,0.7480130617887368,0.4241359655991916,0.9946116504854369,147.06676050199343,111.51631272312969,262.772305667184,152.8533494634243,111.59946327960576,267.28005150133987,0.06942078647142048,0.03905320433122334,0.11008670259777181,0.4542906233328487,0.08756194540838454,0.5788292682926829,0.9945548431305369,0.01089031373892613,1.0,0.0,0.0,0.0,19.04922087500745,4.740110585415162,23.053350400005
target_a_next_quarter_yoy,seasonal_naive,1.1474541174211659,0.23938174924745742,1.3716674960863402,0.15012393366865412,0.006002783449160582,0.15803011584570575,36.18365276968577,18.76406245502821,52.66404721615688,-0.08095173317550783,0.4217281272656009,0.3963221541336691,0.4806478462252716,0.1924050985213265,0.7527952879971855,0.5737270587105829,0.11969087462372871,0.6858337480431701,0.5574028144950028,0.21484166010757144,0.8793444015830063,0.08419124024783917,0.0014319949634878253,0.08556386538083055,0.5158553557012683,0.04001728536632486,0.5617004526667979,0.9262754804424075,0.006916837694662851,0.9329268292682927,0.8420842401945683,0.006658051819092228,0.8495121951219512,1.161740789326355,0.02774680887113564,1.194268862354839,10.380506607202744,2.370609746085915,12.558147596470544,0.4261518344704321,0.02407644617630348,0.4536406958614649,0.6687459261027208,0.01222867094331087,0.684439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.034118925002985634,0.004734919021275786,0.03838390001328662
target_a_next_quarter_yoy,xgboost,0.7462588182903023,0.23241533319639882,1.0907659269282355,0.11485957240418045,0.0038809882871459187,0.11971771852485336,24.800769635240947,18.612419838473766,52.086038402008334,-0.5248948181671675,0.23923323353214343,-0.38567259156364697,0.09971765425605446,0.023951573688691625,0.13509280457768674,0.37312940914515114,0.11620766659819941,0.5453829634641177,0.5100364047069591,0.14528864418383777,0.7079056727111279,0.13295330844707792,0.017816882623184024,0.15001968116512499,0.5319218573832217,0.0419456142808444,0.5727219051367841,0.9018699626333482,0.01623421180373779,0.914829757921669,0.7689166541862703,0.00858889754998499,0.7817961165048544,2.974811613559723,0.47272747364585127,3.641235828399658,6.097540591744705,1.682826036803928,8.42998477487568,0.6225434490409508,0.014951017763333222,0.6370694805383105,0.7380980222806968,0.011351838267330432,0.748868333005314,0.008246957899473776,0.0005470406401398493,0.008829268292682926,0.0,0.0,0.0,378.0157312500087,29.861436301555223,402.90915199997835
target_aux_min_next_two_quarters_yoy,catboost,0.28559366959748456,0.05649099591691358,0.36189641090296454,0.10528028211878826,0.0052056974164591445,0.11028372467920164,5.35450982599155,3.7487660974281005,10.137429516888238,-0.11237240083534682,0.060610569525635406,-0.046396108426601565,0.04874502565810132,0.005826391161680126,0.056876147475626436,0.14279683479874228,0.02824549795845679,0.18094820545148227,0.12608040819949767,0.0428592334120371,0.18210073737706078,0.11689733724061793,0.007590461782829778,0.12520048115477145,0.5324200994333703,0.009930352708213522,0.5457781789009226,0.9116922351454484,0.009727729646025552,0.9229843561973526,0.7947948979048305,0.016053366658145704,0.8159847573204974,0.6450695166600405,0.015411624603760443,0.6608331880594546,1.74825433857599,0.48593413277160646,2.389768848526872,0.5823216340496631,0.025396511663656567,0.613301523456,0.7751878418318854,0.013821834652371176,0.795076213397513,0.0016352087255976679,0.0005551670432796317,0.002443280977312391,0.0,0.0,0.0,165.2773905500071,17.453458222857154,184.72718440002063
target_aux_min_next_two_quarters_yoy,industry_median,0.3451699394606535,0.05736193275313698,0.42139839566752857,0.15085708651465987,0.002745338923465754,0.15405561804425355,5.3934653031912445,3.738303438691433,10.161714274490215,-0.06804323446499111,0.05770105891091715,-0.010103729577839003,0.06334199550459475,0.00550838741892997,0.07067655111379671,0.17258496973032675,0.02868096637656849,0.21069919783376428,0.17192463730883142,0.05067994034201696,0.23801739398692945,0.1163832367871695,0.0025857274756267115,0.11813352044907778,0.6143505826837763,0.00538365112649378,0.6214901724829522,0.9343495808795279,0.004528502629161039,0.9382270356999599,0.8179663440923584,0.0023609769614048874,0.8209987966305656,0.8271660280989475,0.01286964793831997,0.8431415144066471,2.3526663281342617,0.5618024728082911,3.086939451007262,0.18376674958545877,0.004132667351435559,0.1870287854244698,0.6853880226581421,0.0319774817103821,0.7234757320497393,0.0,0.0,0.0,0.0,0.0,0.0,0.08515212498605251,0.026540917827340357,0.12413769995328039
target_aux_min_next_two_quarters_yoy,lightgbm,0.28164634373033187,0.0558867892888252,0.35712927571437303,0.10393738436700635,0.005578876103062535,0.10905587519945095,5.352133975505181,3.751465959437746,10.13505977531542,-0.1062164171290242,0.059729567639439096,-0.04001979777531474,0.04866722786127413,0.005757473994783098,0.056756187214209795,0.14082317186516594,0.0279433946444126,0.17856463785718651,0.1197574247349774,0.0402453679856216,0.17045989502150993,0.1254403492657533,0.0069875095430567856,0.1332197273456295,0.535170315731595,0.005751560039633984,0.5413156839149619,0.906703478896508,0.00905677381550816,0.9165295437546747,0.7812631296307547,0.012762618018888134,0.795076213397513,0.623494967893929,0.01265703313247713,0.6406735611950517,1.6842465259625155,0.45814783278611143,2.2721608223571974,0.5925077679188793,0.026271387002482483,0.624806128395544,0.7781764820821093,0.015132817662508322,0.7992880064179703,0.0028838779144741574,0.0002794459067701791,0.0032076984763432237,0.0,0.0,0.0,40.57128935000219,6.239453420300331,47.27777300000889
target_aux_min_next_two_quarters_yoy,regularized_linear,63.18481530194104,89.36077289619493,192.1182763638352,63.10494134408403,89.35893908099796,191.99989670005695,65.92147219183241,86.98488166780304,192.21327762681872,-33.2230705819555,108.79394696543866,54.64975628496165,13.477354591466105,10.558299284469213,25.475040114217602,31.59240765097052,44.680386448097465,96.0591381819176,11.40377696002622,10.549227578250528,25.72352285936384,0.4984874006766077,0.575603716231216,0.9972575417601596,0.5194691449362601,0.5540087560851744,0.999900274245824,0.996376764528055,0.007046411907718496,1.0,0.49788936385144744,0.5715063692545679,0.9997994384275972,222.6401519724293,93.85543244194432,296.9367400531833,248.8113155149233,78.77658364923367,304.9288198915674,0.19163598715623253,0.022319225102302193,0.20987591675343895,0.49244264982719843,0.2804781577761382,0.7558664259927798,0.5,0.5773502691896257,1.0,0.0,0.0,0.0,16.695974274989567,3.3944626566446767,20.55859299999429
