target,fold,model,서비스_업종_코드,rows,mae,median_absolute_error,rmse,mean_error,pinball_p10,pinball_p50,pinball_p90,attainment_p10,attainment_p50,attainment_p90,coverage_p10_p90,mean_interval_width,interval_score_80,spearman,direction_accuracy,crossing_ratio_raw,crossing_ratio_corrected
target_a_next_quarter_yoy,1,catboost,CS100001,1393,0.17153623494209422,0.0771705384693397,0.8608885097144324,-0.07870712163337343,0.037963183639222506,0.08576811747104711,0.0759183129606005,0.021536252692031587,0.4644651830581479,0.9691313711414213,0.9475951184493898,0.7466467092373866,1.13881496599823,0.665053023644073,0.7437185929648241,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100002,436,0.20011379429603277,0.11152891194155343,0.5327616579461631,-0.008633863880964331,0.037534608044518886,0.10005689714801638,0.07320939371563795,0.06651376146788991,0.6490825688073395,0.9770642201834863,0.9105504587155964,0.8029975433086707,1.1074400176015684,0.6969602607059678,0.7408256880733946,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100003,325,0.28050127821496595,0.11727098702550756,1.818588602561084,-0.06791971218223906,0.04613383713846322,0.14025063910748298,0.13701620033626585,0.08615384615384615,0.6615384615384615,0.9815384615384616,0.8953846153846153,0.8438830686398148,1.8315003747472909,0.6983091830691174,0.7938461538461539,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100004,330,0.4011095516437532,0.12187153992641209,2.05951251576656,-0.17753746473299573,0.06276128937294083,0.2005547758218766,0.199694702226123,0.08787878787878788,0.6757575757575758,0.9636363636363636,0.8757575757575757,0.9395515593754941,2.624559915990638,0.6740928435171004,0.7575757575757576,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100005,402,0.19320961842298773,0.08658766062150729,0.5182323321995522,0.006768916919918222,0.039067524137911404,0.09660480921149386,0.07736523307790012,0.07960199004975124,0.7114427860696517,0.9776119402985075,0.8980099502487562,0.8184355467156956,1.1643275721581152,0.6608124733229352,0.7487562189054726,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100006,387,3.4952271286071652,0.13230291418878098,63.31289345474716,-3.2786478215826156,0.37364684698916373,1.7476135643035826,2.9428083482457716,0.09043927648578812,0.5813953488372093,0.9767441860465116,0.8863049095607235,1.1178674029045335,33.164551952349356,0.6738623233163008,0.8113695090439277,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100007,533,0.21890189767417587,0.1282355482846365,0.504910346554282,0.02235091905247585,0.043340733927797845,0.10945094883708793,0.07531278412032559,0.11632270168855535,0.6303939962476548,0.9831144465290806,0.8667917448405253,0.8261424247278286,1.1865351804812345,0.6002686071855394,0.774859287054409,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100008,770,0.2440129380937242,0.11623375130799558,0.7877233637798989,-0.05228041480975398,0.0450680288996578,0.1220064690468621,0.09142184971511667,0.07402597402597402,0.6051948051948052,0.9675324675324676,0.8935064935064935,0.8742308906731598,1.3648987861477448,0.6427172055100878,0.7428571428571429,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100009,889,0.28797862326966245,0.14512659525774682,0.6426727912558501,-0.11890398503236811,0.0553588576562828,0.14398931163483122,0.08633627259282316,0.0686164229471316,0.4938132733408324,0.9448818897637795,0.876265466816648,1.0664208273643547,1.4169513024910596,0.7077997802740787,0.7739032620922385,0.0,0.0
target_a_next_quarter_yoy,1,catboost,CS100010,1052,0.34616154097021895,0.10605061325293373,2.1938618579666893,-0.22742501389746692,0.05969228495575583,0.17308077048510948,0.14773262257520228,0.03802281368821293,0.4372623574144487,0.9429657794676806,0.9049429657794676,0.9285354054154731,2.074249075309581,0.7037265012647284,0.723384030418251,0.0,0.0
