target,fold,validation_period,model,validation_rows,fit_seconds,mae,median_absolute_error,rmse,mean_error,pinball_p10,pinball_p50,pinball_p90,attainment_p10,attainment_p50,attainment_p90,coverage_p10_p90,mean_interval_width,interval_score_80,spearman,direction_accuracy,crossing_ratio_raw,crossing_ratio_corrected
target_a_next_quarter_yoy,1,20241,catboost,20600,135.79557030001888,1.1433508030996864,0.14162023460081746,52.27778863754612,-0.9186126946086882,0.1410104391134947,0.5716754015498432,0.8232014711028445,0.08699029126213592,0.5545631067961165,0.9503883495145631,0.8633980582524272,1.1633705401237324,9.642119102163392,0.5705411771742379,0.7239320388349515,0.0,0.0
target_a_next_quarter_yoy,1,20241,industry_median,20600,0.06948399997781962,1.2195741345698148,0.18958979473054385,52.30014614268349,-0.9114653737544784,0.15196354651116048,0.6097870672849074,0.9221517202542151,0.11228155339805826,0.618495145631068,0.9263106796116505,0.8140291262135922,1.2994400355297495,10.741152667653758,0.07925508495479679,0.47053398058252427,0.0,0.0
target_a_next_quarter_yoy,1,20241,lightgbm,20600,37.893241000012495,1.0941150503248398,0.11975793804152697,52.152938025074754,-0.8899880569793002,0.13469261231735918,0.5470575251624199,0.649767563386639,0.11699029126213592,0.5198058252427185,0.901747572815534,0.7847572815533981,1.4063828821440472,7.844601757039981,0.608778179339189,0.7284466019417476,0.0033980582524271844,0.0
target_a_next_quarter_yoy,1,20241,regularized_linear,20600,12.688768599997275,1.9608705965015303,1.1061371105002697,52.29168872402296,0.10749141031689562,11.313109740408013,0.9804352982507651,1.920518082007323,0.0,0.9404368932038835,0.9946116504854369,0.9946116504854369,124.71368349985572,132.33627822415335,0.07670367984972948,0.4354368932038835,1.0,0.0
target_a_next_quarter_yoy,1,20241,seasonal_naive,20600,0.03838390001328662,1.3716674960863402,0.15803011584570575,52.66404721615688,-0.6247892011017718,0.37647035806404827,0.6858337480431701,0.8793444015830063,0.08257281553398058,0.5085436893203884,0.9192718446601942,0.8366990291262136,1.194268862354839,12.558147596470544,0.4011920481656468,0.6574757281553398,0.0,0.0
target_a_next_quarter_yoy,1,20241,xgboost,20600,335.1757934000343,1.0907659269282355,0.11971771852485336,52.086038402008334,-0.8817195930044833,0.13509280457768674,0.5453829634641177,0.7079056727111279,0.1212135922330097,0.5216504854368932,0.9030097087378641,0.7817961165048544,2.980846405029297,8.42998477487568,0.6137512241166219,0.7294174757281553,0.007572815533980583,0.0
target_a_next_quarter_yoy,2,20242,catboost,20500,196.8507082000142,0.6951459170313888,0.11674048098898396,15.029407135305863,-0.4592778563097628,0.09328424481253883,0.3475729585156944,0.3989791997075114,0.1248780487804878,0.5466829268292683,0.9191219512195122,0.7942439024390244,1.3127807739667818,4.9226344452005035,0.6097892653118475,0.7421463414634146,0.0010731707317073172,0.0
target_a_next_quarter_yoy,2,20242,industry_median,20500,0.10716589994262904,0.8083405217350421,0.1920397792401945,15.23772747049963,-0.48582491922759835,0.11104896528075767,0.40417026086752106,0.5534566159208111,0.12653658536585366,0.6364390243902439,0.9298048780487805,0.8032682926829269,1.280116373182306,6.645055812015687,0.08217336996418702,0.4898048780487805,0.0,0.0
target_a_next_quarter_yoy,2,20242,lightgbm,20500,49.42646629997762,0.6832700706042444,0.11329026385262728,15.065165430710723,-0.44569290728823663,0.09318908126270468,0.3416350353021222,0.34326509720451265,0.13926829268292684,0.5575121951219513,0.9155121951219513,0.7762439024390244,1.4172039878588842,4.3645417846721735,0.6286445962431422,0.7460487804878049,0.003658536585365854,0.0
target_a_next_quarter_yoy,2,20242,regularized_linear,20500,18.20978340000147,113.608843868978,113.0402184333347,114.62504888950471,-113.608843868978,26.028082222330312,56.804421934489,0.6999229278036785,0.0,0.0,0.9790243902439024,0.9790243902439024,262.772305667184,267.28005150133987,0.07476494980142072,0.5788292682926829,1.0,0.0
