target,기준_년분기_코드,rows,valid_rows,mean,std,min,p01,p10,p50,p90,p99,max
target_a_next_quarter_yoy,20214,22354,20797,1.0127954315568735,41.42926560053463,-0.9999361656513392,-0.8842829896385385,-0.4126423735211675,0.03542319932762261,0.8501562612916759,7.136617857345808,4124.804097194352
target_a_next_quarter_yoy,20221,22255,20814,0.7065060666167424,13.326207972154416,-0.9992630004322224,-0.8837788741971169,-0.37868261148954924,0.07269063015229871,0.9456916735574028,7.231931100686781,1273.5059359728014
target_a_next_quarter_yoy,20222,22250,20703,0.8361775779007535,28.2784444597401,-0.9999378657260759,-0.8820003682034397,-0.39387215825468885,0.07937176310870608,1.1603761706555646,8.203902410008608,3913.3062428028056
target_a_next_quarter_yoy,20223,22113,20817,0.9779746968287097,52.26458160205202,-0.999998863108393,-0.8858925548256938,-0.4048489350784702,0.03563808495816079,0.740925624768324,5.829121166945629,5737.513147058824
target_a_next_quarter_yoy,20224,22216,20779,8.291698165732585,784.2897914328219,-0.999972534205949,-0.8665158751733214,-0.3454684102909887,0.10615361386248123,1.1640677989334314,8.241880591790613,106681.76811594203
target_a_next_quarter_yoy,20231,22106,20711,1.1824641587067266,54.08834066307971,-0.9999465725854174,-0.8591286957684582,-0.3937713370932012,0.0,0.6291163004617664,6.005892985418791,4794.591518209049
target_a_next_quarter_yoy,20232,22083,20682,1.0705927373007802,52.05532051974696,-0.9995992192945142,-0.8537934069871255,-0.3952127818216334,-0.005345124705948057,0.6216695340491024,6.110946302977705,4779.58900464529
target_a_next_quarter_yoy,20233,22017,20738,44.394467300411,6306.6430395418665,-0.9998368851327291,-0.8621901369989603,-0.40194425329377265,-0.01266845461727989,0.6415139674603634,6.792706630269105,908198.77696793
target_a_next_quarter_yoy,20234,22040,20645,0.45089610469967056,10.12922937528955,-0.9999934482758621,-0.8828538704782538,-0.4024857856541417,-0.019308410023578082,0.576504983038554,6.1876507450044045,785.9201131473462
target_a_next_quarter_yoy,20241,21910,20600,0.9533655152703657,52.29262878668698,-0.998346374553155,-0.8634760043567892,-0.40227922246575126,-0.025481282910245928,0.5920973730389817,6.620637792671442,7094.523911620664
target_a_next_quarter_yoy,20242,21887,20500,0.517627721763405,15.229146077927268,-0.9997499334732555,-0.8792412314193594,-0.4365054065081033,-0.04393561760659925,0.5501253840845652,6.110173523431729,1385.454419519817
target_a_next_quarter_yoy,20243,21718,20431,0.43138839761936104,11.35140606912333,-0.9999580105494853,-0.8809800352869506,-0.4173378039086606,-0.030114571115588018,0.530534280479414,5.312853924367881,870.3234201781876
target_a_next_quarter_yoy,20244,21664,20324,0.43342922390366895,21.15423304699425,-0.9989638474605633,-0.885649618634802,-0.44335626523270605,-0.06066691921582479,0.47378180427418987,4.945875871045747,2740.3068115133733
target_b_next_two_quarters_yoy,20214,22354,20412,0.34173695165981316,4.7152888683184315,-0.9985847433019475,-0.803490775294833,-0.33398206998523194,0.06264319352333658,0.7533590572495267,4.594426601224716,468.0358059368146
target_b_next_two_quarters_yoy,20221,22255,20336,0.34785541913847534,3.094190048718589,-0.9994579077913593,-0.8134408265878816,-0.3355465352068154,0.07433293445743705,0.8715159676801236,4.378878280410625,248.39945975
