target,서비스_업종_코드,rows,valid_rows,mean,p10,p50,p90
target_a_next_quarter_yoy,CS100001,18376,18142,0.5018326701391145,-0.16878594876532668,0.061715106119322516,0.46206243659638224
target_a_next_quarter_yoy,CS100002,5971,5498,1.190991227645565,-0.2860660771947228,0.01634505500288108,0.5046035377921255
target_a_next_quarter_yoy,CS100003,4530,4211,0.13650989314098738,-0.3248015172165102,-0.008424746672550887,0.5400938616496691
target_a_next_quarter_yoy,CS100004,4500,4207,0.45874425067333996,-0.34850102270383915,0.011571304035746577,0.7417470407417505
target_a_next_quarter_yoy,CS100005,5738,5312,1.0469571533601028,-0.283375904932339,-0.02601515985185532,0.30986287645004656
target_a_next_quarter_yoy,CS100006,5651,5150,0.3671932499158447,-0.3962536363372482,-0.05508060240027074,0.4123627565073042
target_a_next_quarter_yoy,CS100007,7533,7138,0.07553614111507315,-0.4290160483870667,-0.058387428476578074,0.5800223401454002
target_a_next_quarter_yoy,CS100008,10552,10028,0.20486101229753179,-0.3600438887746764,0.0,0.4959656628069994
target_a_next_quarter_yoy,CS100009,11965,11571,0.34838959180551077,-0.346999454332775,0.05991434480855529,1.1137223582670903
target_a_next_quarter_yoy,CS100010,14105,13542,0.31586693232623136,-0.30120346529746095,0.004521070144513861,0.5858463984620443
target_a_next_quarter_yoy,CS200001,8441,7978,0.39546099062160556,-0.4360489322571433,0.027500288458345956,0.8798095641886899
target_a_next_quarter_yoy,CS200002,946,807,0.5244245640103725,-0.4247462703167358,0.06992397554944096,1.1157047860607898
target_a_next_quarter_yoy,CS200003,6693,6196,1.4652620086128565,-0.4915002775246154,0.053328978740925126,1.1686679717225013
target_a_next_quarter_yoy,CS200005,6223,5680,0.5003609352440274,-0.4877715813660256,0.009158927192196686,1.147344010301531
target_a_next_quarter_yoy,CS200006,6630,6484,0.1519101087933299,-0.16580937400250828,0.05519975751065109,0.43592717650755997
target_a_next_quarter_yoy,CS200007,4995,4911,0.07802753383353703,-0.2935842562577673,0.006978684317213046,0.4311818064323718
target_a_next_quarter_yoy,CS200008,4169,4050,0.1603543424280182,-0.35292746374065026,-0.00322192026082202,0.5395739913663883
target_a_next_quarter_yoy,CS200016,4532,4282,0.5638316106315545,-0.3612949542296394,0.10537544361672846,1.0662910336114302
target_a_next_quarter_yoy,CS200017,1823,1684,0.5486825582696403,-0.427834976617645,-0.03971295653801593,0.5989484892295279
target_a_next_quarter_yoy,CS200019,1810,1622,0.08581133200939785,-0.4085481645948665,-0.028473842789063397,0.5257806985284548
target_a_next_quarter_yoy,CS200024,3090,2762,0.40593253669471224,-0.5080349996823996,-0.020632364921354118,1.0038269981883012
target_a_next_quarter_yoy,CS200025,4963,4814,0.1652703639471691,-0.36670758652052704,0.021799818316164066,0.594619980588406
target_a_next_quarter_yoy,CS200026,723,612,0.27986867833053464,-0.4664207493628828,0.0,0.8934005716871737
target_a_next_quarter_yoy,CS200028,14483,14261,0.14574710774657682,-0.28819466268220073,-0.004756122426861742,0.4293356581267267
target_a_next_quarter_yoy,CS200029,3629,3333,0.24517758094476025,-0.5801761177649671,-0.04941177477181524,0.9463057861421815
target_a_next_quarter_yoy,CS200030,4552,3853,29.714474005400373,-0.63674105221854,0.03247832760848701,1.9179497335346822
target_a_next_quarter_yoy,CS200031,5500,5143,0.4333542342358069,-0.31010959259636584,0.05842389987742447,0.7435370881005718
target_a_next_quarter_yoy,CS200032,828,615,1.1504533053687,-0.7046013063273169,0.0,2.289893362029784
target_a_next_quarter_yoy,CS200033,391,261,0.6112218185694482,-0.6666666666666667,0.0,2.0
target_a_next_quarter_yoy,CS200034,2620,2422,0.5281837815005882,-0.5439120150890718,-0.059292625854332204,0.9941621268114292
target_a_next_quarter_yoy,CS200036,10,2,0.0,-0.4,0.0,0.4
target_a_next_quarter_yoy,CS200037,6913,6747,0.835656120275439,-0.3507325396819998,0.13053375019768243,2.1769185584134347
target_a_next_quarter_yoy,CS300001,11565,11067,2.0046728886924576,-0.3436050464458518,-0.046474123460856775,0.338291414236999
target_a_next_quarter_yoy,CS300002,9456,9003,0.6391098927315358,-0.2076735058338993,-0.020496262771946272,0.2180449884107301
