run_id,model,feature_set_id,서비스_업종_코드,rows,positive_rate,average_precision,roc_auc,precision_at_0_5,recall_at_0_5,f1_at_0_5,predicted_positive_rate_at_0_5
lightgbm__trial10,lightgbm,common_baseline,CS100001,5554,0.1852718761253151,0.5579539238081664,0.8523773013546381,0.6531007751937985,0.3275024295432459,0.4362459546925566,0.09290601368383147
lightgbm__trial10,lightgbm,common_baseline,CS100002,1698,0.33510011778563015,0.7022447561171614,0.8299302149280589,0.7082294264339152,0.4991212653778559,0.5855670103092784,0.23616018845700826
lightgbm__trial10,lightgbm,common_baseline,CS100003,1282,0.45553822152886114,0.7953083798773253,0.8286101189308004,0.7403846153846154,0.6592465753424658,0.697463768115942,0.40561622464898595
lightgbm__trial10,lightgbm,common_baseline,CS100004,1283,0.39438815276695244,0.7269635884620923,0.8158240114761856,0.7125890736342043,0.5928853754940712,0.6472491909385113,0.32813717848791896
lightgbm__trial10,lightgbm,common_baseline,CS100005,1564,0.3177749360613811,0.6528752395547958,0.7935051734964613,0.6690909090909091,0.3702213279678068,0.47668393782383417,0.1758312020460358
lightgbm__trial10,lightgbm,common_baseline,CS100006,1526,0.41874180865006555,0.7705314127625108,0.838854749441154,0.7621832358674464,0.6118935837245696,0.6788194444444444,0.336173001310616
lightgbm__trial10,lightgbm,common_baseline,CS100007,2078,0.48267564966313764,0.7857640737460385,0.8090723179299312,0.7521685254027262,0.6051844466600199,0.6707182320441989,0.3883541867179981
lightgbm__trial10,lightgbm,common_baseline,CS100008,3033,0.3537751401252885,0.7143236919454732,0.8305556612206858,0.7649063032367973,0.418452935694315,0.5409638554216868,0.19353775140125287
lightgbm__trial10,lightgbm,common_baseline,CS100009,3508,0.3187001140250855,0.6923927546700555,0.8296674426089625,0.6700924974306269,0.5831842576028623,0.6236250597800096,0.27736602052451537
lightgbm__trial10,lightgbm,common_baseline,CS100010,4154,0.291044776119403,0.6548860656852659,0.8260999493049441,0.6881720430107527,0.42349048800661704,0.5243215565796211,0.1791044776119403
lightgbm__trial10,lightgbm,common_baseline,CS200006,1998,0.14614614614614616,0.4145108006898381,0.7775578538277474,0.6818181818181818,0.10273972602739725,0.17857142857142858,0.022022022022022022
lightgbm__trial10,lightgbm,common_baseline,CS200007,1506,0.20053120849933598,0.4672357666743679,0.7834151063782976,0.5714285714285714,0.2251655629139073,0.32304038004750596,0.07901726427622842
lightgbm__trial10,lightgbm,common_baseline,CS200016,1297,0.27602158828064766,0.6248405353603632,0.8144793284190361,0.6902173913043478,0.3547486033519553,0.46863468634686345,0.14186584425597532
lightgbm__trial10,lightgbm,common_baseline,CS200024,839,0.4123957091775924,0.7303450759402881,0.7925582431497614,0.7175572519083969,0.5433526011560693,0.618421052631579,0.31227651966626935
lightgbm__trial10,lightgbm,common_baseline,CS200028,4384,0.2664233576642336,0.6082289848056099,0.8071617511756287,0.6736672051696284,0.3570205479452055,0.4667039731393397,0.14119525547445255
lightgbm__trial10,lightgbm,common_baseline,CS200029,1017,0.400196656833825,0.6429674040233636,0.7201353365287791,0.6981132075471698,0.36363636363636365,0.4781906300484653,0.20845624385447395
lightgbm__trial10,lightgbm,common_baseline,CS200030,1156,0.2378892733564014,0.5272151483961509,0.7832875864203901,0.6241610738255033,0.3381818181818182,0.4386792452830189,0.12889273356401384
lightgbm__trial10,lightgbm,common_baseline,CS200031,1546,0.2238033635187581,0.42846809490983595,0.6907442196531792,0.5093167701863354,0.23699421965317918,0.3234714003944773,0.10413971539456662
lightgbm__trial10,lightgbm,common_baseline,CS200037,2043,0.29515418502202645,0.5399542980469145,0.7696563478901787,0.5674418604651162,0.4046434494195688,0.4724104549854792,0.21047479197258934
lightgbm__trial10,lightgbm,common_baseline,CS300001,3323,0.33012338248570566,0.7409673127379948,0.8583935113406571,0.7605820105820106,0.5241567912488605,0.62061521856449,0.22750526632560938
lightgbm__trial10,lightgbm,common_baseline,CS300002,2751,0.2813522355507088,0.6869472493617753,0.8316263646926737,0.7278350515463917,0.4560723514211886,0.5607625099285147,0.17629952744456562
lightgbm__trial10,lightgbm,common_baseline,CS300010,1240,0.24435483870967742,0.6072898857359811,0.8158155196522854,0.6526315789473685,0.40924092409240925,0.5030425963488844,0.1532258064516129
lightgbm__trial10,lightgbm,common_baseline,CS300011,3264,0.35324754901960786,0.5822797779761217,0.7276332661320971,0.6209439528023599,0.36513443191673894,0.4598580010922993,0.20772058823529413
lightgbm__trial10,lightgbm,common_baseline,CS300014,494,0.4109311740890688,0.5893720818802197,0.6988641172786213,0.6290322580645161,0.3842364532019704,0.47706422018348627,0.25101214574898784
lightgbm__trial10,lightgbm,common_baseline,CS300015,215,0.3953488372093023,0.656383059595475,0.754841628959276,0.6829268292682927,0.32941176470588235,0.4444444444444444,0.19069767441860466
lightgbm__trial10,lightgbm,common_baseline,CS300016,805,0.2248447204968944,0.48105657529722207,0.7349925626859328,0.5636363636363636,0.1712707182320442,0.2627118644067797,0.06832298136645963
