fold,run_id,model,feature_set_id,fit_seconds,predict_seconds,average_precision,roc_auc,log_loss,brier_score,threshold,precision,recall,f1,f2,mcc,balanced_accuracy,accuracy,predicted_positive_rate,tn,fp,fn,tp
1,lightgbm__trial10,lightgbm,common_baseline,19.060969000012847,0.18779019999783486,0.6120334438348354,0.8050797759373756,0.4689971098357918,0.1538777229279624,0.5,0.6614173228346457,0.4,0.49851632047477745,0.4343329886246122,0.3836662953520789,0.6602261048304214,0.7748334566987417,0.1692079940784604,13434,1161,3402,2268
1,xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,34.395226900000125,0.0685998999979347,0.6116415076880678,0.8045164835629608,0.469508490280008,0.15403401969809097,0.5,0.6631237082964275,0.3961199294532628,0.4959699679805675,0.4308129052058158,0.3825375175927504,0.6589712357098448,0.7747347643720701,0.16713545521835677,13454,1141,3424,2246
1,catboost__trial18,catboost,tree_plus_worker_population_raw_components,20.95304419999593,0.06208649999462068,0.6012407316208979,0.7985020479459214,0.47486826774957114,0.15574133683308164,0.5,0.6461141382277029,0.39735449735449735,0.49208255979032434,0.430504070011847,0.37202419753712057,0.6564024970499791,0.7704909943251912,0.17207007155193685,13361,1234,3417,2253
1,soft_voting_equal,soft_voting,three_selected_trial_probabilities,0.0,0.0022794999822508544,0.6146687114474743,0.8054338026177698,0.4684841830470539,0.15366033184523487,0.5,0.6657801418439716,0.39735449735449735,0.49768058316766073,0.43220534069981587,0.38498361338753395,0.6599311027368582,0.7755736491487787,0.16698741672834938,13464,1131,3417,2253
1,stacking_nested_logistic,stacking,three_selected_trial_probabilities,0.07852169999387115,0.004943899984937161,0.6144495947638419,0.8056212505430274,0.4744963814963663,0.15457294218122852,0.5,0.6667676461678279,0.38818342151675483,0.49069223052056626,0.4235787691004965,0.38027209382534166,0.6564075723548145,0.7745373797187268,0.16289168517147792,13495,1100,3469,2201
2,lightgbm__trial10,lightgbm,common_baseline,18.853778399992734,0.1771881000022404,0.6298212138530581,0.8132793588152729,0.4641997356085389,0.15269704696821204,0.5,0.6686423934518769,0.410074433096763,0.5083690987124464,0.4444486135604668,0.3906151817543844,0.6643637132224391,0.7732693354446039,0.17531792765599485,13258,1174,3408,2369
2,xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,44.934487299993634,0.07326949998969212,0.6279204880461584,0.8138308519102627,0.4641592348068641,0.15288251492226484,0.5,0.6697005284791544,0.3948416132940973,0.49678754219753896,0.43015010937617865,0.3824784959232573,0.6584449197290885,0.7713395022019892,0.1685387698550151,13307,1125,3496,2281
2,catboost__trial18,catboost,tree_plus_worker_population_raw_components,26.970591099990997,0.08133159999852069,0.6275888941551878,0.8111991695603062,0.46558548305975794,0.15283953864609004,0.5,0.6555671175858481,0.4362125670763372,0.5238540692235735,0.46749777382012464,0.39656891056806626,0.6722359952898316,0.7733188183482607,0.1902122816566876,13108,1324,3257,2520
2,soft_voting_equal,soft_voting,three_selected_trial_probabilities,0.0,0.0021704999962821603,0.6327713305295425,0.8151914854071904,0.4623065813124536,0.1519905522288518,0.5,0.6726608597920765,0.41440193872252035,0.512853470437018,0.44886938913263585,0.3957961958293674,0.6668392731306615,0.7749517541689346,0.17610965411450344,13267,1165,3383,2394
2,stacking_nested_logistic,stacking,three_selected_trial_probabilities,0.038884099980350584,0.002453199995215982,0.6319903200709899,0.81493711251553,0.4693671217242086,0.15263246230499355,0.5,0.6487864077669903,0.462696901505972,0.5401636859654441,0.49085500220361394,0.40647118176276587,0.6812167988682853,0.7748033054579643,0.2038695630659607,12985,1447,3104,2673
3,lightgbm__trial10,lightgbm,common_baseline,31.798931500001345,0.21427279998897575,0.662404202962071,0.8081351154909908,0.4891288421776405,0.16201916495138463,0.5,0.6851446632628252,0.44003747657713926,0.5358942664257869,0.4739479969053786,0.39953525293361264,0.6729209786144352,0.7577907899960302,0.20409884874950376,12453,1295,3586,2818
3,xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,50.08966620001593,0.0705411999952048,0.6599807994240423,0.8069446748895122,0.4908635215439768,0.16260309428383515,0.5,0.6885408898831717,0.4325421611492817,0.5313129375659346,0.4672897196261682,0.39767865241141387,0.6707008158088568,0.7574930527987297,0.19963279078999602,12495,1253,3634,2770
3,catboost__trial18,catboost,tree_plus_worker_population_raw_components,25.590887199999997,0.09539120001136325,0.6506759616111644,0.8016419445803894,0.4942650176992413,0.16390988306837295,0.5,0.6671381423856672,0.4419113054341037,0.5316550817208341,0.4739098399089021,0.3874251699632811,0.6696027286553702,0.7525803890432712,0.21050019849146487,12336,1412,3574,2830
3,soft_voting_equal,soft_voting,three_selected_trial_probabilities,0.0,0.002191699983086437,0.6629015328659984,0.808093050432002,0.4889453984909544,0.16197681033431424,0.5,0.6836585365853659,0.4376951905059338,0.5337014470677837,0.47163144433974963,0.397128703436705,0.6716770977260539,0.7569472012703454,0.203453751488686,12451,1297,3601,2803
3,stacking_nested_logistic,stacking,three_selected_trial_probabilities,0.02960670000175014,0.002388199995039031,0.6635652311902354,0.8086215527209953,0.4918661473475642,0.16163129875220972,0.5,0.6543307086614173,0.5190505933791381,0.5788923719958202,0.5414386239249414,0.4196269904958272,0.6956614619499706,0.7600238189757841,0.2520841603811036,11992,1756,3080,3324
4,lightgbm__trial10,lightgbm,common_baseline,24.062619399977848,0.20920599999953993,0.6701873768640252,0.81524086837304,0.47738950318588985,0.15725890205444928,0.5,0.6883990719257541,0.4723018147086915,0.5602341389728097,0.5039404850873022,0.42319819795618296,0.6873960972185729,0.7677387185240588,0.2149090002493144,12430,1343,3315,2967
4,xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,53.28625259999535,0.07011879998026416,0.6686681121785977,0.8145198377670155,0.47858451102057636,0.15757389488217305,0.5,0.6907073509015257,0.47564469914040114,0.5633484162895928,0.5072316154002852,0.42680857763377705,0.6892490539918952,0.769035153328347,0.2157068062827225,12435,1338,3294,2988
4,catboost__trial18,catboost,tree_plus_worker_population_raw_components,27.340230900008464,0.07400880000204779,0.6661048931515404,0.8114695148121079,0.4810262762509204,0.15835431340738926,0.5,0.6820224719101123,0.4831263928685132,0.565598210957883,0.5130502400432754,0.4245994941948655,0.6901945766709516,0.7675392670157068,0.2218898030416355,12358,1415,3247,3035
4,soft_voting_equal,soft_voting,three_selected_trial_probabilities,0.0,0.0028569000132847577,0.672034230448573,0.8156841198721444,0.4769650938028621,0.15703694504182902,0.5,0.6895207521210731,0.47866921362623366,0.565066240721601,0.5098511309301773,0.42766063069895544,0.6901804646509154,0.7691847419596111,0.2174520069808028,12419,1354,3275,3007
4,stacking_nested_logistic,stacking,three_selected_trial_probabilities,0.03351679997285828,0.002445300022372976,0.671875592770848,0.815856053049915,0.4809724143166383,0.15748764854466982,0.5,0.660637884091793,0.54075135307227,0.5947128851540616,0.5611166171126528,0.43981686700783557,0.7070270959799744,0.7691348790825231,0.256394913986537,12028,1745,2885,3397
