run_id,model,feature_set_id,completed_folds,oof_rows,overall_average_precision,overall_roc_auc,overall_brier_score,overall_log_loss,overall_f2_at_0_5,mean_fold_average_precision,std_fold_average_precision,worst_fold_average_precision,mean_fold_roc_auc,std_fold_roc_auc,worst_fold_roc_auc,total_incremental_fit_seconds,total_predict_seconds,inference_base_model_count
lightgbm__trial10,lightgbm,common_baseline,4,80681,0.645362543898259,0.8107876938661294,0.15645597069079,0.47490995160190774,0.46557130987161277,0.6436115593784975,0.023700150521057815,0.6120334438348354,0.8104337796541697,0.004035921067356348,0.8050797759373756,93.77629829998477,0.7884570999885909,1
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,4,80681,0.6439080596229622,0.81031167099822,0.15676583298565575,0.4757585749607486,0.46049214678439027,0.6420527268342165,0.023207525433217448,0.6116415076880678,0.8099529620324377,0.004315653877542505,0.8045164835629608,182.70563300000504,0.2825293999630958,1
catboost__trial18,catboost,tree_plus_worker_population_raw_components,4,80681,0.638440353933175,0.8061486315866447,0.15770429403061442,0.4789186187331081,0.4725689662831505,0.6364026201346976,0.02449486409826386,0.6012407316208979,0.8057031692246812,0.0057403496062007585,0.7985020479459214,100.85475339999539,0.3128181000065524,1
soft_voting_equal,soft_voting,three_selected_trial_probabilities,4,80681,0.6473679745273146,0.8114658640788235,0.1561586533323525,0.47415560414221486,0.46709726986849626,0.645593951322897,0.02301863812477493,0.6146687114474743,0.8111006145822767,0.004441338334541527,0.8054338026177698,0.0,0.00949859997490421,3
stacking_nested_logistic,stacking,three_selected_trial_probabilities,4,80681,0.6445525433120103,0.8104263428011369,0.15657439577572807,0.4791598728149017,0.5077731552441428,0.6454701846989788,0.023284437041055425,0.6144495947638419,0.811258992207367,0.004283741224371324,0.8056212505430274,0.18052929994883016,0.01223059999756515,3
