importance_rank,source_feature,friendly_name,gain,normalized_gain
101,구성비__상주__연령대_50_상주인구_수,구성 비중: 상주인구: 연령대 50 상주인구 수,2389.751125097275,0.0010418670476790351
102,구성비__유동__남성_유동인구_수,구성 비중: 유동인구: 남성 유동인구 수,2384.6496376544237,0.0010396429367224439
103,구성비__직장__연령대_50_직장_인구_수,구성 비중: 직장인구: 연령대 50 직장 인구 수,2345.623431444168,0.0010226285632090777
104,구성비__직장__연령대_60_이상_직장_인구_수,구성 비중: 직장인구: 연령대 60 이상 직장 인구 수,2317.180304288864,0.0010102281267766649
105,구성비__유동__시간대_06_11_유동인구_수,구성 비중: 유동인구: 시간대 06 11 유동인구 수,2296.2097421884537,0.0010010855272003867
106,구성비__유동__연령대_10_유동인구_수,구성 비중: 유동인구: 연령대 10 유동인구 수,2287.4874572753906,0.000997282846186472
107,구성비__상주__연령대_30_상주인구_수,구성 비중: 상주인구: 연령대 30 상주인구 수,2286.5651826262474,0.0009968807593098259
108,구성비__상주__연령대_60_이상_상주인구_수,구성 비중: 상주인구: 연령대 60 이상 상주인구 수,2284.396509051323,0.0009959352761123679
109,구성비__유동__시간대_21_24_유동인구_수,구성 비중: 유동인구: 시간대 21 24 유동인구 수,2241.305628299713,0.0009771488141084043
110,구성비__직장__남성_직장_인구_수,구성 비중: 직장인구: 남성 직장 인구 수,2226.9532647132874,0.0009708915706155712
111,변화__폐업_영업_개월_평균,변화 폐업 영업 개월 평균,2213.6385972499847,0.0009650867346495437
112,개업_강도,개업 강도,2207.233030796051,0.0009622940804103705
113,공간__면적,공간 면적,2185.6970875263214,0.0009529049898905353
114,구성비__상주__남성_상주인구_수,구성 비중: 상주인구: 남성 상주인구 수,2175.9741995334625,0.0009486660729164418
115,면적당_가구,면적당 가구,2075.307720899582,0.0009047782028394869
116,변화__운영_영업_개월_평균,변화 운영 영업 개월 평균,2069.9415694475174,0.0009024387055119008
117,구성비__유동__금요일_유동인구_수,구성 비중: 유동인구: 금요일 유동인구 수,2041.1899369359016,0.0008899037690633992
118,시설__집객시설_수,집객시설 수,2040.5999775975943,0.0008896465627009467
119,유동__총_유동인구_수,총 유동인구,2001.8840659856796,0.0008727674692649446
120,구성비__주말_매출_건수,구성 비중: 주말 매출 건수,1990.1548902988434,0.0008676538649585316
121,상주인구_대비_직장인구_비율,상주인구 대비 직장인구 비율,1973.1898785829544,0.0008602575773348344
122,유동인구_대비_상주인구_비율,유동인구 대비 상주인구 비율,1972.5248651504517,0.0008599676494112477
123,공간__행정동_코드,공간 행정동 코드,1926.4092350006104,0.0008398624782361037
124,아파트__아파트_가격_1_억_세대_수,아파트: 아파트 가격 1 억 세대 수,1894.8099454641342,0.0008260860401156767
125,폐업_강도,폐업 강도,1841.0182702541351,0.0008026343202892157
126,구성비__상주__연령대_10_상주인구_수,구성 비중: 상주인구: 연령대 10 상주인구 수,1824.527721107006,0.0007954448855509745
127,구성비__직장__연령대_30_직장_인구_수,구성 비중: 직장인구: 연령대 30 직장 인구 수,1823.7117837667465,0.0007950891588734726
128,면적당_상주인구,면적당 상주인구,1813.690493106842,0.0007907201463833777
129,폐업_률,상권·업종 폐업 점포 비율,1792.6791462898254,0.0007815597657704743
130,구성비__유동__시간대_17_21_유동인구_수,구성 비중: 유동인구: 시간대 17 21 유동인구 수,1769.9274114370346,0.0007716406229058847
131,상주__총_상주인구_수,총 상주인구,1751.4080632925034,0.0007635666865140785
132,구성비__유동__일요일_유동인구_수,구성 비중: 유동인구: 일요일 유동인구 수,1697.9794595241547,0.0007402732560454657
133,구성비__주중_매출_금액,구성 비중: 주중 매출 금액,1695.7786498069763,0.0007393137623565794
134,면적당_아파트단지,면적당 아파트단지,1642.8082587718964,0.0007162201002833472
135,구성비__유동__시간대_11_14_유동인구_수,구성 비중: 유동인구: 시간대 11 14 유동인구 수,1640.279797077179,0.0007151177591678314
136,아파트__아파트_가격_1_억_미만_세대_수,아파트: 아파트 가격 1 억 미만 세대 수,1633.3017196655273,0.0007120755055896236
137,구성비__상주__여성_상주인구_수,구성 비중: 상주인구: 여성 상주인구 수,1631.7468078136444,0.0007113976059524987
138,상권_코드,상권 코드,1631.267430305481,0.0007111886102860007
139,상주__총_가구_수,상주인구: 총 가구 수,1620.4951832145452,0.0007064922010425296
140,구성비__유동__월요일_유동인구_수,구성 비중: 유동인구: 월요일 유동인구 수,1605.4448222219944,0.0006999306495030678
141,아파트__아파트_면적_66_제곱미터_세대_수,아파트: 아파트 면적 66 제곱미터 세대 수,1603.2265096902847,0.0006989635250590327
142,구성비__직장__여성_직장_인구_수,구성 비중: 직장인구: 여성 직장 인구 수,1591.045482993126,0.0006936529258968913
143,구성비__유동__여성_유동인구_수,구성 비중: 유동인구: 여성 유동인구 수,1578.6902565956116,0.0006882663803629246
144,아파트__아파트_가격_2_억_세대_수,아파트: 아파트 가격 2 억 세대 수,1524.8887219429016,0.0006648103620853149
